市区町村コード,市区町村名,所在・地番,地番,登記地目,面積,農振法区分,都市計画法区分,遊休農地,利用状況調査日,所有者の農地に関する意向,遊休農地の所有者等の意向,利用意向調査日,所有者等の確知の状況,農地中間管理権の状況,権利の種類,存続期間始期,緯度,経度
29212,宇陀市,大宇陀迫間字西垣内1201番1,1201-1,畑,2140,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-20,貸付けを希望,農地中間管理機構に貸付けたい,2025-09-10,確知,無,,,34.470450,135.939965
29212,宇陀市,大宇陀迫間字西垣内1201番2,1201-2,畑,1860,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-20,貸付けを希望,農地中間管理機構に貸付けたい,2025-09-10,確知,無,,,34.470450,135.939930
29212,宇陀市,大宇陀迫間字西垣内1202番,1202,畑,2450,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-20,未回答,貸付けを希望,2025-09-10,確知,無,,,34.470900,135.940030
29212,宇陀市,大宇陀迫間字西垣内1203番1,1203-1,樹園地,3100,農用地区域内,都市計画区域外,遊休農地(2号),2025-08-20,未回答,未回答,2025-09-10,所有者等を確知できない,無,,,34.471350,135.939914
29212,宇陀市,大宇陀迫間字西垣内1205番,1205,畑,980,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-20,貸付けを希望,貸付けを希望,2025-09-10,確知,無,,,34.472250,135.940007
29212,宇陀市,大宇陀田原字堂ノ上842番,842,田,3300,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-18,自ら耕作する,自ら耕作する,2025-09-05,確知,無,,,34.482900,135.961973
29212,宇陀市,大宇陀田原字堂ノ上843番1,843-1,田,2800,農用地区域内,都市計画区域外,遊休農地(2号),2025-08-18,未回答,農地中間管理機構に貸付けたい,2025-09-05,確知,有,賃借権,2024-04-01,34.483350,135.961912
29212,宇陀市,大宇陀田原字堂ノ上845番,845,畑,1520,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-18,貸付けを希望,貸付けを希望,2025-09-05,確知,無,,,34.484250,135.962001
29212,宇陀市,菟田野古市場字南山310番2,310-2,畑,620,農用地区域外,都市計画区域外,遊休農地(1号),2025-08-11,未回答,未回答,2025-09-02,確知,無,,,34.454700,135.993557
29212,宇陀市,菟田野古市場字南山311番,311,畑,410,農用地区域外,都市計画区域外,遊休農地(1号),2025-08-11,未回答,未回答,2025-09-02,所有者等を確知できない,無,,,34.455150,135.993637
29212,宇陀市,榛原檜牧字大谷2210番1,2210-1,畑,4800,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-25,農地中間管理機構に貸付けたい,農地中間管理機構に貸付けたい,2025-09-12,確知,無,,,34.520900,135.972464
29212,宇陀市,榛原檜牧字大谷2210番3,2210-3,畑,3950,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-25,農地中間管理機構に貸付けたい,農地中間管理機構に貸付けたい,2025-09-12,確知,無,,,34.520900,135.972468
29212,宇陀市,榛原檜牧字大谷2211番,2211,樹園地,2600,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-25,貸付けを希望,貸付けを希望,2025-09-12,確知,無,,,34.521350,135.972535
29212,宇陀市,榛原檜牧字大谷2213番,2213,畑,1780,農用地区域内,都市計画区域外,遊休農地(2号),2025-08-25,未回答,貸付けを希望,2025-09-12,確知,無,,,34.522250,135.972615
29212,宇陀市,榛原檜牧字大谷2216番1,2216-1,畑,2050,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-25,未回答,未回答,2025-09-12,所有者等を確知できない,無,,,34.520000,135.973025
29212,宇陀市,榛原萩原字下川原55番,55,畑,880,農用地区域外,市街化区域,無,2025-08-05,自ら耕作する,,,確知,無,,,34.535150,135.951495
29212,宇陀市,室生三本松字北垣内1480番,1480,田,12500,農用地区域内,都市計画区域外,遊休農地(2号),2025-08-28,未回答,未回答,2025-09-14,確知,無,,,34.552000,136.062025
29212,宇陀市,室生三本松字北垣内1482番,1482,畑,320,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-28,貸付けを希望,貸付けを希望,2025-09-14,確知,無,,,34.552900,136.062090
29212,宇陀市,室生向渕字上出2905番,2905,畑,3400,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-30,貸付けを希望,農地中間管理機構に貸付けたい,2025-09-15,確知,無,,,34.571450,136.003665
29212,宇陀市,室生向渕字上出2907番1,2907-1,畑,2900,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-30,未回答,貸付けを希望,2025-09-15,確知,無,,,34.572350,136.003629
29212,宇陀市,室生向渕字上出2908番,2908,畑,1650,農用地区域内,都市計画区域外,遊休農地(1号),2025-08-30,未回答,未回答,2025-09-15,確知,無,,,34.572800,136.003745
29212,宇陀市,室生向渕字上出2930番,2930,畑,2200,農用地区域内,都市計画区域外,無,2025-08-30,自ら耕作する,,,確知,無,,,34.571900,136.002459
